% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.071357223e+07 +1.071357223e+07 +1.071352541e+07 +1.071352541e+07 +7.2137e-02 -3.3076e-01 +3.6816e-01 -6.2940e-01 -3.7989e-01 -4.7434e-01 -1.0811e-02 +6.5736e-01 +1.6447e-02 -7.3198e-01 -8.2173e-02 +6.0928e-01 +7.4211e-01 -4.8486e-01 -2.2558e-01 -1.3582e-01 -1.2745e-01 +4.1680e-01 +4.7797e-01 +7.0313e-01
2 +6.898008146e+06 +6.898008146e+06 +6.897961326e+06 +6.897961326e+06 -5.6559e-01 -4.1561e-01 -7.1048e-01 +4.9881e-01 -5.3241e-01 +5.5160e-01 -8.8399e-01 +2.3034e-01 -8.6404e-02 -2.2209e-01 +9.2748e-01 +3.6985e-01 +2.5747e-02 +5.1394e-01 +1.0434e-01 +9.5475e-02 -3.8841e-03 -3.9088e-01 -2.8681e-01 -1.4821e-02
7 +4.718122095e+06 +4.718122095e+06 +4.718075275e+06 +4.718075275e+06 +8.8462e-01 -5.1634e-01 -6.4326e-01 -1.8009e-02 -1.9795e-02 +2.4519e-01 +3.9894e-01 +4.9277e-01 -3.7369e-01 -1.1523e-02 +1.6790e-01 +7.3989e-01 +2.9187e-01 -7.4548e-01 +9.1152e-02 -6.3211e-01 +6.6130e-01 -2.8636e-01 +1.4792e-01 -2.8961e-01
36 +3.713267102e+06 +3.713267102e+06 +3.713220282e+06 +3.713220282e+06 +1.8795e-01 -1.7311e-01 -2.7172e-01 -4.6126e-02 -2.0691e-02 +4.6375e-02 +2.1223e-01 +7.4239e-01 -9.8379e-03 -4.0374e-01 -2.9923e-02 -3.0372e-01 -2.6113e-01 -4.3128e-02 +2.4371e-01 +1.7297e-01 -1.3069e-01 -7.0859e-01 -9.1153e-03 -5.2860e-01
% function evaluation | noise-free fitness - Fopt (-5.563000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.648842649e+06 +6.648842649e+06 +6.648787019e+06 +6.648787019e+06 +1.5729e-01 +1.2667e-01 +3.5899e-01 +1.2902e-01 -1.5360e-01 -6.6128e-01 +3.7350e-01 +5.8783e-01 -2.6975e-02 +4.8276e-01 -9.1712e-02 -2.1016e-02 -8.3791e-01 -3.1247e-01 +1.2338e-01 -3.9362e-02 +9.3633e-02 -8.5973e-01 -5.4380e-02 -5.6112e-01
2 +5.008328575e+06 +5.008328575e+06 +5.008272945e+06 +5.008272945e+06 -6.6251e-01 -2.4147e-01 -1.6675e-01 +9.8343e-02 +7.9782e-01 +1.3006e-01 +5.0686e-01 -2.4730e-01 +3.9613e-01 -1.0201e-01 -5.6147e-01 -7.5869e-01 -2.8820e-01 +1.5588e-01 -3.6485e-01 +6.0338e-01 +2.2034e-01 +3.9619e-01 +2.9968e-01 +7.5894e-01
% function evaluation | noise-free fitness - Fopt (3.460000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.298472438e+07 +1.298472438e+07 +1.298475898e+07 +1.298475898e+07 +4.5626e-01 +1.8807e-01 +1.1317e-01 -3.4627e-01 +6.9389e-01 +2.3359e-01 +8.6309e-01 -5.2527e-01 +2.7764e-01 +3.1580e-01 -1.7196e-01 -4.8534e-01 -4.1465e-01 -3.7812e-01 -3.5311e-01 -3.2158e-01 +6.8546e-02 +8.3959e-01 -2.1300e-01 -9.9605e-02
14 +9.602110596e+06 +9.602110596e+06 +9.602145196e+06 +9.602145196e+06 -3.9990e-01 -3.4477e-01 -1.3668e-01 +2.4352e-01 +1.4212e-01 -1.2743e-01 +9.0421e-02 -3.5718e-01 -4.5307e-01 -5.6893e-01 -4.1538e-01 -5.1016e-02 -9.3979e-01 +1.1600e-01 -1.4716e-01 -4.7444e-01 -4.0166e-01 +2.7592e-01 +9.2685e-02 +6.7914e-01
% function evaluation | noise-free fitness - Fopt (8.816000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.639098099e+06 +6.639098099e+06 +6.639186259e+06 +6.639186259e+06 -1.6990e-02 -2.4589e-02 -3.8688e-01 +5.2545e-01 -3.7007e-01 -6.4904e-01 -3.4674e-01 +3.3700e-01 -5.0351e-01 -4.6205e-01 -5.7363e-01 -4.9638e-01 -2.1745e-01 +4.4163e-01 -4.3603e-01 +2.2718e-01 +5.8165e-01 +1.2470e-01 -4.8086e-01 +1.5836e-01
2 +5.363835728e+06 +5.363835728e+06 +5.363923888e+06 +5.363923888e+06 -9.6672e-02 +1.5313e-01 -1.2579e-01 -4.9733e-01 -4.3486e-01 +2.3959e-01 +2.7505e-01 -3.9911e-01 -1.9452e-01 -2.5150e-01 -3.3134e-01 +9.5170e-02 -1.2193e-01 +3.0508e-01 +5.3238e-01 +7.5908e-01 +4.3164e-01 +3.6016e-01 +4.2575e-01 -6.0911e-01
6 +3.900154234e+06 +3.900154234e+06 +3.900242394e+06 +3.900242394e+06 -2.5865e-01 +2.0235e-03 -5.2219e-01 +2.6635e-01 +1.5703e-01 -4.0790e-02 +6.9951e-01 +2.8690e-01 -2.1801e-01 +2.0744e-01 -2.6383e-01 +3.0385e-01 -2.0197e-01 -6.1071e-02 +1.2246e-01 -4.4428e-01 +6.3975e-02 -5.5157e-01 +6.0150e-02 -4.6017e-01
% function evaluation | noise-free fitness - Fopt (-1.866200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.770467576e+06 +8.770467576e+06 +8.770280956e+06 +8.770280956e+06 -3.0764e-01 +4.5949e-01 +6.1279e-01 -3.3963e-01 +1.5463e-01 +2.6402e-01 -8.2780e-01 +2.2931e-02 +1.7069e-01 -1.6549e-01 -2.4553e-01 +8.5688e-01 -1.3508e-01 -2.6366e-01 +1.3765e-01 +1.1629e-01 -1.7387e-01 +5.8925e-01 -3.9411e-01 -3.7258e-03
